LOCATION,SUBJECT,Value
AUS,COUPL_67PC_AVEWAGE,15
AUS,SNGL_67PC_AVEWAGE,10
AUT,COUPL_67PC_AVEWAGE,3
AUT,SNGL_67PC_AVEWAGE,5
BEL,COUPL_67PC_AVEWAGE,12
BEL,SNGL_67PC_AVEWAGE,9
CAN,COUPL_67PC_AVEWAGE,14
CAN,SNGL_67PC_AVEWAGE,-2
CZE,COUPL_67PC_AVEWAGE,23
CZE,SNGL_67PC_AVEWAGE,50
DNK,COUPL_67PC_AVEWAGE,11
DNK,SNGL_67PC_AVEWAGE,3
FIN,COUPL_67PC_AVEWAGE,11
FIN,SNGL_67PC_AVEWAGE,9
FRA,COUPL_67PC_AVEWAGE,8
FRA,SNGL_67PC_AVEWAGE,4
DEU,COUPL_67PC_AVEWAGE,1
DEU,SNGL_67PC_AVEWAGE,1
GRC,COUPL_67PC_AVEWAGE,5
GRC,SNGL_67PC_AVEWAGE,0
HUN,COUPL_67PC_AVEWAGE,6
HUN,SNGL_67PC_AVEWAGE,11
ISL,COUPL_67PC_AVEWAGE,5
ISL,SNGL_67PC_AVEWAGE,6
IRL,COUPL_67PC_AVEWAGE,22
IRL,SNGL_67PC_AVEWAGE,3
ITA,COUPL_67PC_AVEWAGE,0
ITA,SNGL_67PC_AVEWAGE,0
JPN,COUPL_67PC_AVEWAGE,6
JPN,SNGL_67PC_AVEWAGE,2
KOR,COUPL_67PC_AVEWAGE,4
KOR,SNGL_67PC_AVEWAGE,7
LUX,COUPL_67PC_AVEWAGE,3
LUX,SNGL_67PC_AVEWAGE,1
NLD,COUPL_67PC_AVEWAGE,15
NLD,SNGL_67PC_AVEWAGE,12
NZL,COUPL_67PC_AVEWAGE,32
NZL,SNGL_67PC_AVEWAGE,14
NOR,COUPL_67PC_AVEWAGE,7
NOR,SNGL_67PC_AVEWAGE,1
POL,COUPL_67PC_AVEWAGE,7
POL,SNGL_67PC_AVEWAGE,11
PRT,COUPL_67PC_AVEWAGE,4
PRT,SNGL_67PC_AVEWAGE,0
SVK,COUPL_67PC_AVEWAGE,9
SVK,SNGL_67PC_AVEWAGE,13
ESP,COUPL_67PC_AVEWAGE,7
ESP,SNGL_67PC_AVEWAGE,12
SWE,COUPL_67PC_AVEWAGE,5
SWE,SNGL_67PC_AVEWAGE,4
CHE,COUPL_67PC_AVEWAGE,20
CHE,SNGL_67PC_AVEWAGE,11
GBR,COUPL_67PC_AVEWAGE,23
GBR,SNGL_67PC_AVEWAGE,8
USA,COUPL_67PC_AVEWAGE,29
USA,SNGL_67PC_AVEWAGE,50
BGR,COUPL_67PC_AVEWAGE,0
BGR,SNGL_67PC_AVEWAGE,0
HRV,COUPL_67PC_AVEWAGE,5
HRV,SNGL_67PC_AVEWAGE,4
CYP,COUPL_67PC_AVEWAGE,23
CYP,SNGL_67PC_AVEWAGE,34
EST,COUPL_67PC_AVEWAGE,0
EST,SNGL_67PC_AVEWAGE,0
LVA,COUPL_67PC_AVEWAGE,0
LVA,SNGL_67PC_AVEWAGE,0
LTU,COUPL_67PC_AVEWAGE,8
LTU,SNGL_67PC_AVEWAGE,9
MLT,COUPL_67PC_AVEWAGE,0
MLT,SNGL_67PC_AVEWAGE,0
ROU,COUPL_67PC_AVEWAGE,10
ROU,SNGL_67PC_AVEWAGE,17
SVN,COUPL_67PC_AVEWAGE,8
SVN,SNGL_67PC_AVEWAGE,11
OECD,COUPL_67PC_AVEWAGE,10
OECD,SNGL_67PC_AVEWAGE,9
